,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,458885,-,-,-,33.01,-106.02,-7.0,1323.0,-7.0,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
1,Year,Month,Day,Hour,Minute,GHI,DNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1998,1,1,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,1,1,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1998,1,1,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1998,1,1,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1998,1,1,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998,1,1,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1998,1,1,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1998,1,1,7,30,46,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1998,1,1,8,30,224,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1998,1,1,9,30,397,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1998,1,1,10,30,525,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1998,1,1,11,30,597,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1998,1,1,12,30,606,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1998,1,1,13,30,547,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1998,1,1,14,30,431,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1998,1,1,15,30,269,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1998,1,1,16,30,87,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1998,1,1,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1998,1,1,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1998,1,1,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1998,1,1,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1998,1,1,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1998,1,1,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1998,1,1,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1998,1,2,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1998,1,2,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1998,1,2,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1998,1,2,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1998,1,2,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1998,1,2,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1998,1,2,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1998,1,2,7,30,45,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1998,1,2,8,30,225,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1998,1,2,9,30,398,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1998,1,2,10,30,526,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1998,1,2,11,30,600,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1998,1,2,12,30,417,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1998,1,2,13,30,383,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1998,1,2,14,30,359,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1998,1,2,15,30,215,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1998,1,2,16,30,59,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1998,1,2,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1998,1,2,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1998,1,2,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1998,1,2,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1998,1,2,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1998,1,2,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1998,1,2,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1998,1,3,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1998,1,3,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1998,1,3,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1998,1,3,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1998,1,3,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1998,1,3,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1998,1,3,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1998,1,3,7,30,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1998,1,3,8,30,223,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1998,1,3,9,30,241,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1998,1,3,10,30,191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1998,1,3,11,30,601,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1998,1,3,12,30,611,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1998,1,3,13,30,555,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1998,1,3,14,30,306,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1998,1,3,15,30,221,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1998,1,3,16,30,59,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1998,1,3,17,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1998,1,3,18,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1998,1,3,19,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1998,1,3,20,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1998,1,3,21,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1998,1,3,22,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1998,1,3,23,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1998,1,4,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1998,1,4,1,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1998,1,4,2,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1998,1,4,3,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1998,1,4,4,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1998,1,4,5,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1998,1,4,6,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1998,1,4,7,30,44,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1998,1,4,8,30,223,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1998,1,4,9,30,325,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1998,1,4,10,30,411,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1998,1,4,11,30,221,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1998,1,4,12,30,208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1998,1,4,13,30,232,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1998,1,4,14,30,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
